# r f_numeric f_exact abs_error
0.17339979567967032 0.14579415818130836 0.14579479077185017 6.3259054181030727e-07
0.17439174377870484 0.14648280961559024 0.14648344605443847 6.3643884823383345e-07
0.17538399035111693 0.14717015872205272 0.14717079901252475 6.4029047203151279e-07
0.17637653635936243 0.14785620712088279 0.1478568512663235 6.4414544070912072e-07
0.177369382768026 0.14854095642855342 0.14854160443233533 6.4800378191121055e-07
0.17836253054382367 0.1492244082578249 0.14922506012334835 6.5186552344886906e-07
0.17935598065567324 0.14990656421779272 0.14990721994848599 6.5573069327196087e-07
0.18034973407465205 0.15058742591385776 0.15058808551317726 6.5959931949688411e-07
0.1813437917740669 0.15126699494777349 0.15126765841920387 6.6347143037881473e-07
0.18233815472943329 0.15194527291763071 0.15194594026468497 6.6734705425619545e-07
0.18333282391856157 0.15262226141791532 0.15262293264413501 6.7122621968951357e-07
0.18432780032152191 0.15329796203948301 0.15329863714843828 6.7510895526701198e-07
0.18532308492069111 0.15397237636958969 0.15397305536487962 6.7899528993775604e-07
0.18631867870075575 0.15464550599189222 0.15464618887714468 6.828852524565221e-07
0.1873145826487583 0.15531735248647788 0.15531803926534987 6.8677887199442011e-07
0.18831079775408011 0.15598791742985108 0.1559886081060288 6.9067617772256007e-07
0.18930732500847852 0.15665720239495667 0.15665789697215562 6.9457719895082981e-07
0.19030416540612261 0.15732520895120192 0.15732590743316702 6.9848196510013949e-07
0.19130131994361815 0.157991938664471 0.15799264105497676 7.0239050575793271e-07
0.19229878961999508 0.15865739309711438 0.158658099399965 7.0630285062267539e-07
0.19329657543671194 0.15932157380794959 0.15932228402697909 7.1021902950385574e-07
0.19429467839772671 0.15998448235230606 0.15998519649137838 7.1413907232198426e-07
0.19529309950950657 0.16064612028202888 0.16064683834503801 7.1806300913634935e-07
0.19629183978099921 0.16130648914545717 0.16130721113632729 7.2199087011726171e-07
0.1972909002236867 0.16196559048745718 0.16196631641014275 7.259226855738099e-07
0.19829028185161515 0.16262342584943892 0.16262415570792477 7.2985848584283808e-07
0.1992899856813686 0.16327999676933605 0.16328073056763751 7.3379830145547942e-07
0.20029001273212912 0.16393530478164242 0.16393604252380548 7.377421630538894e-07
0.20129036402568387 0.16458935141741357 0.16459009310751493 7.4169010136349023e-07
0.20229104058641309 0.16524213820425573 0.16524288384640295 7.4564214722072641e-07
0.20329204344135865 0.16589366666636726 0.16589441626469881 7.4959833154530919e-07
0.20429337362018826 0.16654393832451192 0.16654469188319737 7.5355868545123883e-07
0.20529503215523479 0.16719295469604115 0.1671937122192812 7.5752324005251559e-07
0.20629702008154197 0.16784071729492009 0.16784147878694669 7.6149202660191762e-07
0.20729933843682843 0.16848722763170063 0.16848799309677714 7.654650765187565e-07
0.20830198826151222 0.16913248721353369 0.16913325665595491 7.6944242122234385e-07
0.20930497059878539 0.16977649754421353 0.1697772709683058 7.7342409227076914e-07
0.21030828649454289 0.17041926012412806 0.17042003753424942 7.7741012136089971e-07
0.21131193699747614 0.17106077645031503 0.17106155785085531 7.8140054027286965e-07
0.2123159231590323 0.17170104801643202 0.17170183341181286 7.8539538084232419e-07
0.2133202460334577 0.17234007631278006 0.1723408657074551 7.8939467504368643e-07
0.21432490667781337 0.17297786282630948 0.17297865622476438 7.9339845490689065e-07
0.21532990615197975 0.17361440904061856 0.17361520644737119 7.9740675262840455e-07
0.21633524551866537 0.17424971643595494 0.17425051785555534 8.0141960040469584e-07
0.21734092584344786 0.17488378648923719 0.17488459192626776 8.0543703057101013e-07
0.21834694819477513 0.1755166206740511 0.17551743013312673 8.0945907562912645e-07
0.21935331364397359 0.17614822046065046 0.17614903394641848 8.1348576802531269e-07
0.2203600232652535 0.17677858731595592 0.17677940483309632 8.175171404001258e-07
0.22136707813575926 0.1774077227035819 0.17740854425680741 8.2155322550514498e-07
0.22237447933555937 0.17803562808382578 0.17803645367788182 8.2559405603643832e-07
0.22338222794763915 0.1786623049136585 0.17866313455332342 8.2963966491211849e-07
0.22439032505797707 0.17928775464676749 0.1792885883368526 8.3369008510580933e-07
0.22539877175550715 0.17991197873352835 0.17991281647887805 8.3774534970215697e-07
0.22640756913215235 0.18053497862102069 0.18053582042651248 8.4180549178580755e-07
0.22741671828282051 0.18115675575302082 0.18115760162356542 8.4587054460794064e-07
0.22842622030545401 0.18177731157002724 0.18177816151056875 8.4994054150300258e-07
0.2294360763010064 0.18239664750924139 0.18239750152475726 8.5401551586095081e-07
0.23044628737347564 0.18301476500458283 0.18301562310008396 8.5809550112725397e-07
0.2314568546299145 0.18363166548669058 0.18363252766722146 8.6218053088615854e-07
0.23246777918046502 0.18424735038293888 0.18424821665357766 8.6627063877742216e-07
0.23347906213830838 0.18486182111740149 0.18486269148326001 8.7036585852406922e-07
0.23449070461974733 0.18547507911089653 0.18547595357712052 8.7446622398790197e-07
0.23550270774420193 0.18608712578097861 0.18608800435274758 8.785717689752115e-07
0.23651507263421639 0.18669796254193738 0.18669884522446484 8.8268252745882236e-07
0.23752780041544089 0.18730759080478124 0.18730847760331482 8.8679853357809257e-07
0.23854089221668995 0.18791601197726723 0.18791690289708865 8.9091982141686898e-07
0.23955434916994886 0.18852322746389921 0.18852412251032438 8.9504642517002075e-07
0.24056817241040698 0.18912923866594217 0.18913013784432128 8.9917837911568377e-07
0.24158236307639044 0.18973404698137633 0.18973495029709395 9.0331571761526064e-07
0.24259692230945298 0.19033765380494597 0.19033856126342114 9.0745847516893186e-07
0.24361185125436338 0.19094006052814608 0.1909409721348323 9.1160668622136676e-07
0.24462715105911981 0.19154126853922515 0.19154218429961059 9.1576038543927929e-07
0.24564282287495601 0.19214127922318316 0.19214219914279063 9.1991960746162782e-07
0.24665886785637745 0.19274009396178704 0.19274101804617408 9.2408438703839302e-07
0.24767528716114742 0.19333771413355655 0.19333864238831558 9.2825475903057786e-07
0.24869208195030024 0.19393414111376631 0.19393507354452458 9.3243075827142974e-07
0.24970925338819089 0.1945293762744689 0.19453031288688866 9.3661241976072951e-07
0.25072680264245839 0.19512342098446744 0.19512436178424603 9.4079977858152475e-07
0.25174473088406407 0.19571627660933197 0.19571722160220184 9.4499286987237419e-07
0.25276303928730015 0.19630794451139849 0.19630889370312726 9.4919172877183655e-07
0.25378172902981455 0.19689842604977717 0.19689937944616775 9.5339639058500403e-07
0.25480080129260491 0.19748772258034281 0.19748868018723351 9.5760689070023552e-07
0.2558202572600437 0.19807583545574323 0.19807679727900773 9.6182326450588995e-07
0.25684009811987024 0.19866276602538849 0.19866373207093596 9.6604554747359295e-07
0.25786032506324319 0.19924851563547491 0.1992494859092501 9.7027377518599245e-07
0.25888093928472444 0.19983308562896943 0.19983406013695273 9.7450798330900312e-07
0.25990194198226862 0.20041647734559745 0.20041745609380504 9.7874820759180636e-07
0.26092333435731035 0.20099869212188645 0.20099967511637018 9.8299448372807241e-07
0.2619451176146812 0.20157973129111204 0.20158071853795961 9.8724684757800496e-07
0.26296729296268867 0.20215959618333679 0.20216058768867196 9.9150533516834116e-07
0.26398986161313082 0.20273828812541198 0.20273928389539436 9.9576998238704029e-07
0.26501282478127824 0.20331580844096087 0.20331680848178627 1.0000408253996174e-06
0.26603618368588616 0.20389215845037909 0.2038931627682794 1.0043179003160763e-06
0.26705993954920637 0.20446733947083506 0.20446834807207839 1.0086012433296876e-06
0.26808409359702801 0.20504135281628622 0.20504236570717699 1.0128908907724998e-06
0.26910864705866838 0.20561419979746737 0.20561521698434634 1.0171868789765615e-06
0.27013360116697993 0.20618588172188795 0.20618690321113234 1.0214892443849433e-06
0.27115895715838112 0.20675639989384273 0.2067574256918662 1.0257980234684716e-06
0.2721847162728761 0.20732575561441596 0.20732678572766883 1.0301132528645063e-06
0.27321087975400593 0.20789395018144774 0.20789498461641689 1.034434969154896e-06
0.27423744884892287 0.20846098488956852 0.20846202365277758 1.0387632090602672e-06
0.27526442480838564 0.20902686103018969 0.20902790412819905 1.0430980093567577e-06
0.27629180888677218 0.20959157989150395 0.20959262733091086 1.0474394069037718e-06
0.27731960234208364 0.21015514275848063 0.21015619454591927 1.0517874386439807e-06
0.2783478064359729 0.21071755091287453 0.21071860705501608 1.0561421415478112e-06
0.27937642243372673 0.21127880563320942 0.21127986613676214 1.0605035527244677e-06
0.2804054516042942 0.21183890819478673 0.21183997306649599 1.0648717092553994e-06
0.2814348952202963 0.21239785986968399 0.21239892911633235 1.0692466483608332e-06
0.28246475455807002 0.21295566192677173 0.21295673555517911 1.0736284073720181e-06
0.28349503089764705 0.21351231563169512 0.21351339364871869 1.0780170235646924e-06
0.28452572552274147 0.21406782224686025 0.21406890465939463 1.0824125343811275e-06
0.28555683972080209 0.21462218303145569 0.21462326984643296 1.0868149772635949e-06
0.28658837478302862 0.21517539924145399 0.21517649046584381 1.0912243898208995e-06
0.28762033200435844 0.21572747212959759 0.21572856777040722 1.0956408096340908e-06
0.28865271268349102 0.21627840294540499 0.21627950300967944 1.1000642744507516e-06
0.28968551812289034 0.21682819293516484 0.21682929742998686 1.1044948220184647e-06
0.29071874962880573 0.21737684334194024 0.21737795227443041 1.1089324901680797e-06
