# phi u x y
48.5607 1.42722 -0.0935701 -0.694384
48.6467 1.45003 -0.0330951 -0.688846
48.7328 1.46971 0.0259231 -0.679914
48.8191 1.48609 0.0834814 -0.667709
48.9055 1.49904 0.139577 -0.65233
48.992 1.50844 0.194204 -0.633853
49.0786 1.51421 0.247354 -0.612337
49.1653 1.5163 0.299012 -0.587819
49.2519 1.51469 0.349156 -0.560318
49.3386 1.50938 0.397755 -0.529838
49.4253 1.50042 0.444765 -0.496366
49.5119 1.48788 0.490134 -0.459872
49.5985 1.47187 0.53379 -0.420313
49.6849 1.45251 0.57565 -0.377634
49.7712 1.42997 0.615608 -0.331764
49.8573 1.40443 0.653538 -0.282622
49.9433 1.37611 0.689291 -0.230116
50.029 1.34522 0.722687 -0.174146
50.1145 1.31202 0.753519 -0.114607
50.1998 1.27676 0.781542 -0.0513895
50.2848 1.23973 0.806473 0.0156146
50.3696 1.20121 0.827985 0.0865063
50.454 1.16149 0.845705 0.161374
50.5382 1.12086 0.859205 0.240284
50.622 1.07962 0.868004 0.32327
50.7055 1.03808 0.871563 0.410322
50.7886 0.99651 0.869281 0.501365
50.8714 0.955212 0.860503 0.596247
50.9539 0.914463 0.844516 0.694709
51.0359 0.874531 0.820565 0.796364
51.1176 0.835675 0.787867 0.900669
51.1989 0.798139 0.745632 1.00689
51.2797 0.762151 0.693094 1.11407
51.3602 0.727923 0.629561 1.22102
51.4403 0.69565 0.554459 1.32627
51.52 0.665507 0.467406 1.42807
51.5992 0.63765 0.368283 1.5244
51.6781 0.612217 0.257311 1.61301
51.7566 0.589326 0.135128 1.69147
51.8347 0.569074 0.00285528 1.75724
51.9124 0.551543 -0.137868 1.80784
51.9898 0.536796 -0.284877 1.84099
52.0669 0.524881 -0.435526 1.85475
52.1438 0.515831 -0.586779 1.84769
52.2204 0.509668 -0.735348 1.81905
52.297 0.506404 -0.877869 1.76885
52.3734 0.506042 -1.01109 1.69786
52.4498 0.508579 -1.13209 1.60766
52.5263 0.514003 -1.23838 1.50048
52.6029 0.522298 -1.32811 1.37908
52.6796 0.533437 -1.40009 1.2466
52.7566 0.547384 -1.45379 1.10632
52.8338 0.564094 -1.48937 0.961476
52.9114 0.583504 -1.50751 0.815142
52.9893 0.60554 -1.50937 0.670057
53.0675 0.630109 -1.49642 0.528563
53.1462 0.657101 -1.47033 0.392565
53.2252 0.686389 -1.43287 0.263524
53.3046 0.717825 -1.38579 0.142488
53.3844 0.751244 -1.33078 0.0301359
53.4647 0.786462 -1.26941 -0.0731702
53.5453 0.823278 -1.20308 -0.167323
53.6263 0.861472 -1.13303 -0.252415
53.7077 0.900812 -1.06033 -0.328688
53.7894 0.941049 -0.985906 -0.396486
53.8716 0.981924 -0.910504 -0.456223
53.9541 1.02316 -0.834753 -0.508349
54.0369 1.06449 -0.75916 -0.553332
54.1201 1.10562 -0.684127 -0.591637
54.2036 1.14626 -0.60997 -0.623714
54.2874 1.18612 -0.536933 -0.649992
54.3716 1.22491 -0.465201 -0.670873
54.456 1.26235 -0.394906 -0.686725
