# phi u x y
56.25 1 0.955729 -0.294247
56.35 1 0.98033 -0.197363
56.45 1 0.995136 -0.0985077
56.55 1 0.999999 0.00133223
56.65 1 0.99487 0.101159
56.75 1 0.979801 0.199975
56.85 1 0.954942 0.296793
56.95 1 0.920541 0.390645
57.05 1 0.876943 0.480594
57.15 1 0.824583 0.565742
57.25 1 0.763983 0.645236
57.35 1 0.69575 0.718284
57.45 1 0.620566 0.784154
57.55 1 0.539181 0.84219
57.65 1 0.452408 0.891811
57.75 1 0.361116 0.932521
57.85 1 0.266215 0.963914
57.95 1 0.168654 0.985675
58.05 1 0.0694082 0.997588
58.15 1 -0.0305312 0.999534
58.25 1 -0.130166 0.991492
58.35 1 -0.228499 0.973544
58.45 1 -0.32455 0.945869
58.55 1 -0.417358 0.908742
58.65 1 -0.505996 0.862536
58.75 1 -0.589578 0.807712
58.85 1 -0.667269 0.744817
58.95 1 -0.738293 0.67448
59.05 1 -0.80194 0.597404
59.15 1 -0.857575 0.514359
59.25 1 -0.904641 0.426175
59.35 1 -0.942668 0.333733
59.45 1 -0.971276 0.237956
59.55 1 -0.99018 0.139801
59.65 1 -0.99919 0.0402495
59.75 1 -0.998216 -0.0597041
59.85 1 -0.987269 -0.159061
59.95 1 -0.966457 -0.256829
60.05 1 -0.935989 -0.35203
60.15 1 -0.896168 -0.443715
60.25 1 -0.847393 -0.530966
60.35 1 -0.790152 -0.612911
60.45 1 -0.725015 -0.688733
60.55 1 -0.652635 -0.757673
60.65 1 -0.573733 -0.819042
60.75 1 -0.489099 -0.872228
60.85 1 -0.399578 -0.916699
60.95 1 -0.306065 -0.952011
61.05 1 -0.209493 -0.97781
61.15 1 -0.110829 -0.99384
61.25 1 -0.0110565 -0.999939
61.35 1 0.088826 -0.996047
61.45 1 0.187821 -0.982203
61.55 1 0.284939 -0.958546
61.65 1 0.379211 -0.92531
61.75 1 0.469693 -0.88283
61.85 1 0.555483 -0.831528
61.95 1 0.635722 -0.771918
62.05 1 0.709609 -0.704596
62.15 1 0.776406 -0.630233
62.25 1 0.835446 -0.549573
62.35 1 0.886138 -0.463422
62.45 1 0.927976 -0.372641
62.55 1 0.960542 -0.278136
62.65 1 0.98351 -0.180852
62.75 1 0.996652 -0.0817617
62.85 1 0.999835 0.0181459
62.95 1 0.993029 0.117872
63.05 1 0.9763 0.216421
63.15 1 0.949817 0.312807
63.25 1 0.913843 0.406068
63.35 1 0.868738 0.495271
63.45 1 0.814954 0.579526
63.55 1 0.753026 0.65799
63.65 1 0.683575 0.72988
63.75 1 0.607293 0.794478
63.85 1 0.524944 0.851137
63.95 1 0.43735 0.899292
64.05 1 0.345385 0.938461
64.15 1 0.24997 0.968254
64.25 1 0.152057 0.988372
64.35 1 0.0526251 0.998614
64.45 1 -0.0473329 0.998879
64.55 1 -0.146818 0.989164
64.65 1 -0.244836 0.969564
64.75 1 -0.340408 0.940278
64.85 1 -0.432578 0.901596
64.95 1 -0.520427 0.853906
65.05 1 -0.603075 0.797684
65.15 1 -0.679698 0.733492
65.25 1 -0.749529 0.661971
65.35 1 -0.811872 0.583836
65.45 1 -0.866102 0.499867
65.55 1 -0.911678 0.410904
65.65 1 -0.948146 0.317835
65.75 1 -0.97514 0.221591
65.85 1 -0.99239 0.123132
65.95 1 -0.999725 0.0234436
66.05 1 -0.997071 -0.0764795
66.15 1 -0.984455 -0.175638
66.25 1 -0.962002 -0.273042
66.35 1 -0.929937 -0.367718
66.45 1 -0.888581 -0.45872
66.55 1 -0.838346 -0.545138
66.65 1 -0.779735 -0.62611
66.75 1 -0.713333 -0.700826
66.85 1 -0.639803 -0.768539
66.95 1 -0.559881 -0.828573
67.05 1 -0.474365 -0.880329
67.15 1 -0.384108 -0.923288
67.25 1 -0.290015 -0.957022
67.35 1 -0.193023 -0.981194
67.45 1 -0.0941026 -0.995563
67.55 1 0.00575792 -0.999983
67.65 1 0.105561 -0.994413
67.75 1 0.204309 -0.978906
67.85 1 0.301016 -0.953619
67.95 1 0.394715 -0.918803
68.05 1 0.484471 -0.874808
68.15 1 0.569385 -0.822071
68.25 1 0.648611 -0.76112
68.35 1 0.721356 -0.692565
68.45 1 0.786893 -0.617089
68.55 1 0.844568 -0.535448
68.65 1 0.893804 -0.448457
68.75 1 0.93411 -0.356985
68.85 1 0.965082 -0.261946
68.95 1 0.986412 -0.16429
69.05 1 0.997886 -0.0649925
69.15 1 0.999389 0.0349545
69.25 1 0.990906 0.134552
69.35 1 0.972523 0.232806
69.45 1 0.944423 0.328733
