# phi u x y
27.4775 0.642422 -1.08801 1.11322
27.5559 0.67088 -1.12212 0.98116
27.6346 0.70151 -1.14361 0.850994
27.7137 0.734151 -1.15362 0.724237
27.7932 0.768624 -1.15334 0.602054
27.8731 0.804732 -1.14397 0.485299
27.9534 0.842263 -1.12665 0.374557
28.034 0.880985 -1.10247 0.270185
28.115 0.920657 -1.07242 0.172362
28.1963 0.961021 -1.03739 0.0811201
28.278 1.00181 -0.998187 -0.00361253
28.3599 1.04275 -0.955495 -0.0819881
28.4422 1.08355 -0.909918 -0.154212
28.5248 1.12393 -0.861975 -0.220526
28.6077 1.16359 -0.812104 -0.281188
28.6908 1.20226 -0.760675 -0.336466
28.7742 1.23964 -0.708001 -0.386626
28.8578 1.27545 -0.654337 -0.431924
28.9416 1.30942 -0.599897 -0.472606
29.0256 1.34129 -0.544854 -0.5089
29.1098 1.37082 -0.489348 -0.541016
29.1942 1.39776 -0.43349 -0.569143
29.2787 1.42192 -0.377371 -0.593452
29.3634 1.4431 -0.321059 -0.614091
29.4482 1.46112 -0.264607 -0.631186
29.533 1.47585 -0.208056 -0.644844
29.618 1.48716 -0.151436 -0.655151
29.703 1.49496 -0.0947691 -0.662168
29.788 1.49918 -0.0380728 -0.665942
29.8731 1.4998 0.0186392 -0.666493
29.9582 1.49681 0.0753546 -0.663824
30.0432 1.49022 0.13206 -0.657918
30.1283 1.48009 0.18874 -0.648735
30.2132 1.46651 0.245375 -0.636215
30.2981 1.44957 0.301935 -0.620277
30.383 1.42941 0.358386 -0.600821
30.4677 1.40619 0.414677 -0.577721
30.5523 1.38011 0.470745 -0.550835
30.6368 1.35135 0.526507 -0.519995
30.7211 1.32014 0.581858 -0.485013
30.8052 1.28674 0.636667 -0.445682
30.8891 1.25139 0.690769 -0.401773
30.9729 1.21436 0.743962 -0.353041
31.0564 1.17594 0.796002 -0.299227
31.1396 1.1364 0.846592 -0.240061
31.2226 1.09605 0.895373 -0.175267
31.3054 1.05517 0.941924 -0.104577
31.3878 1.01406 0.985742 -0.0277355
31.4699 0.973008 1.02624 0.0554825
31.5518 0.932291 1.06275 0.145253
31.6333 0.892189 1.09447 0.241678
31.7144 0.852965 1.12054 0.344762
