# z  qspline(z)  sin(z)  qspline'(z)  cos(z)  qspline_integ(z)  1-cos(z)
3.456 -0.230887 -0.309253 -0.884639 -0.95098 1.92865 1.95098
3.474 -0.246859 -0.32632 -0.890073 -0.94526 1.92435 1.94526
3.492 -0.26293 -0.34328 -0.895507 -0.939233 1.91977 1.93923
3.51 -0.279098 -0.36013 -0.900942 -0.932902 1.91489 1.9329
3.528 -0.295364 -0.376863 -0.906376 -0.926269 1.90972 1.92627
3.546 -0.311727 -0.393474 -0.91181 -0.919336 1.90425 1.91934
3.564 -0.328189 -0.409957 -0.917244 -0.912105 1.89849 1.9121
3.582 -0.344748 -0.426308 -0.922679 -0.904578 1.89244 1.90458
3.6 -0.361405 -0.44252 -0.928113 -0.896758 1.88608 1.89676
3.618 -0.37816 -0.45859 -0.933547 -0.888648 1.87943 1.88865
3.636 -0.395013 -0.47451 -0.938981 -0.88025 1.87247 1.88025
3.654 -0.411963 -0.490277 -0.944416 -0.871567 1.86521 1.87157
3.672 -0.429012 -0.505885 -0.94985 -0.862601 1.85764 1.8626
3.69 -0.446158 -0.521329 -0.955284 -0.853356 1.84976 1.85336
3.708 -0.463402 -0.536604 -0.960718 -0.843834 1.84158 1.84383
3.726 -0.480744 -0.551705 -0.966153 -0.834039 1.83308 1.83404
3.744 -0.498183 -0.566628 -0.971587 -0.823974 1.82427 1.82397
3.762 -0.515721 -0.581367 -0.977021 -0.813642 1.81514 1.81364
3.78 -0.533356 -0.595917 -0.982455 -0.803046 1.8057 1.80305
3.798 -0.551089 -0.610275 -0.98789 -0.79219 1.79594 1.79219
3.816 -0.56892 -0.624435 -0.993324 -0.781077 1.78586 1.78108
3.834 -0.586849 -0.638392 -0.998758 -0.769711 1.77546 1.76971
3.852 -0.604876 -0.652143 -1.00419 -0.758096 1.76473 1.7581
3.87 -0.623 -0.665682 -1.00963 -0.746236 1.75368 1.74624
3.888 -0.641222 -0.679006 -1.01506 -0.734133 1.74231 1.73413
3.906 -0.659542 -0.692109 -1.0205 -0.721793 1.7306 1.72179
3.924 -0.67796 -0.704989 -1.02593 -0.709218 1.71856 1.70922
3.942 -0.696476 -0.71764 -1.03136 -0.696414 1.70619 1.69641
3.96 -0.715089 -0.730058 -1.0368 -0.683385 1.69349 1.68338
3.978 -0.7338 -0.74224 -1.04223 -0.670134 1.68045 1.67013
3.996 -0.752609 -0.754182 -1.04767 -0.656666 1.66707 1.65667
4.014 -0.771321 -0.765879 -1.02517 -0.642985 1.65335 1.64298
4.032 -0.789499 -0.777328 -0.994682 -0.629095 1.63931 1.6291
4.05 -0.807129 -0.788525 -0.964199 -0.615002 1.62494 1.615
4.068 -0.824211 -0.799467 -0.933716 -0.60071 1.61025 1.60071
4.086 -0.840743 -0.81015 -0.903233 -0.586223 1.59527 1.58622
4.104 -0.856727 -0.82057 -0.87275 -0.571546 1.57999 1.57155
4.122 -0.872162 -0.830724 -0.842267 -0.556684 1.56443 1.55668
4.14 -0.887049 -0.840609 -0.811783 -0.541642 1.5486 1.54164
4.158 -0.901386 -0.850222 -0.7813 -0.526424 1.5325 1.52642
4.176 -0.915175 -0.85956 -0.750817 -0.511035 1.51615 1.51104
4.194 -0.928416 -0.868619 -0.720334 -0.495481 1.49956 1.49548
4.212 -0.941107 -0.877396 -0.689851 -0.479767 1.48273 1.47977
4.23 -0.95325 -0.885889 -0.659368 -0.463897 1.46568 1.4639
4.248 -0.964845 -0.894095 -0.628885 -0.447877 1.44842 1.44788
4.266 -0.97589 -0.902012 -0.598402 -0.431711 1.43095 1.43171
4.284 -0.986387 -0.909636 -0.567919 -0.415406 1.41329 1.41541
4.302 -0.996335 -0.916966 -0.537436 -0.398966 1.39544 1.39897
4.32 -1.00573 -0.923998 -0.506953 -0.382397 1.37742 1.3824
4.338 -1.01459 -0.930731 -0.47647 -0.365704 1.35924 1.3657
4.356 -1.02289 -0.937163 -0.445986 -0.348892 1.3409 1.34889
4.374 -1.03064 -0.943291 -0.415503 -0.331968 1.32242 1.33197
4.392 -1.03785 -0.949113 -0.38502 -0.314936 1.3038 1.31494
4.41 -1.0445 -0.954628 -0.354537 -0.297802 1.28506 1.2978
4.428 -1.05061 -0.959833 -0.324054 -0.280571 1.2662 1.28057
4.446 -1.05617 -0.964728 -0.293571 -0.26325 1.24724 1.26325
4.464 -1.06118 -0.96931 -0.263088 -0.245843 1.22818 1.24584
