# z   linterp(z)   cos(z)   linterp_integ(z)   sin(z)
7.902 -0.0573586 -0.0479999 0.915444 0.998847
7.92 -0.0735479 -0.0659704 0.914266 0.997822
7.938 -0.0897371 -0.0839196 0.912796 0.996473
7.956 -0.105926 -0.101841 0.911035 0.994801
7.974 -0.122116 -0.11973 0.908983 0.992806
7.992 -0.138305 -0.137581 0.906639 0.990491
8.01 -0.153156 -0.155386 0.904011 0.987854
8.028 -0.166938 -0.173141 0.90113 0.984897
8.046 -0.180719 -0.190841 0.898001 0.981621
8.064 -0.1945 -0.208478 0.894624 0.978027
8.082 -0.208282 -0.226048 0.890999 0.974116
8.1 -0.222063 -0.243544 0.887126 0.96989
8.118 -0.235844 -0.260962 0.883005 0.965349
8.136 -0.249626 -0.278295 0.878636 0.960496
8.154 -0.263407 -0.295538 0.874018 0.955331
8.172 -0.277188 -0.312685 0.869153 0.949857
8.19 -0.29097 -0.329731 0.864039 0.944075
8.208 -0.304751 -0.34667 0.858678 0.937987
8.226 -0.318532 -0.363496 0.853068 0.931596
8.244 -0.332314 -0.380205 0.847211 0.924902
8.262 -0.346095 -0.396791 0.841105 0.917909
8.28 -0.359876 -0.413248 0.834751 0.910618
8.298 -0.373658 -0.429572 0.82815 0.903033
8.316 -0.387439 -0.445756 0.8213 0.895155
8.334 -0.401221 -0.461795 0.814202 0.886986
8.352 -0.415002 -0.477686 0.806856 0.878531
8.37 -0.428783 -0.493421 0.799262 0.869791
8.388 -0.442565 -0.508996 0.79142 0.860769
8.406 -0.456346 -0.524407 0.783329 0.851468
8.424 -0.470127 -0.539648 0.774991 0.841891
8.442 -0.483909 -0.554713 0.766405 0.832042
8.46 -0.49769 -0.569599 0.75757 0.821922
8.478 -0.511471 -0.584301 0.748488 0.811537
8.496 -0.525253 -0.598813 0.739157 0.800889
8.514 -0.539034 -0.613131 0.729579 0.789981
8.532 -0.552815 -0.627251 0.719752 0.778817
8.55 -0.566597 -0.641167 0.709677 0.767401
8.568 -0.580378 -0.654876 0.699355 0.755736
8.586 -0.594159 -0.668372 0.688784 0.743827
8.604 -0.607941 -0.681652 0.677965 0.731676
8.622 -0.621722 -0.694711 0.666898 0.719289
8.64 -0.635503 -0.707545 0.655583 0.706668
8.658 -0.649285 -0.72015 0.64402 0.693818
8.676 -0.663066 -0.732521 0.632209 0.680744
8.694 -0.676847 -0.744655 0.620149 0.667449
8.712 -0.690629 -0.756548 0.607842 0.653938
8.73 -0.70441 -0.768196 0.595287 0.640215
8.748 -0.718191 -0.779595 0.582483 0.626284
8.766 -0.731973 -0.790741 0.569432 0.612151
8.784 -0.745754 -0.801631 0.556132 0.597819
8.802 -0.759535 -0.812261 0.542585 0.583294
8.82 -0.773317 -0.822628 0.528789 0.568579
8.838 -0.787098 -0.832729 0.514745 0.553681
8.856 -0.80088 -0.84256 0.500454 0.538603
8.874 -0.814661 -0.852118 0.485914 0.52335
8.892 -0.828442 -0.861399 0.471126 0.507928
8.91 -0.842224 -0.870402 0.45609 0.492342
8.928 -0.856005 -0.879123 0.440806 0.476595
8.946 -0.869786 -0.887559 0.425274 0.460695
8.964 -0.883568 -0.895707 0.409493 0.444645
8.982 -0.897349 -0.903565 0.393465 0.428451
9 -0.91113 -0.91113 0.377189 0.412118
