# x J0_contour J0_ref J1_contour J1_ref J2_contour J2_ref
11.28 -0.116335 -0.116335 -0.212349 -0.212349 0.0786841 0.0786841
11.34 -0.103426 -0.103426 -0.217802 -0.217802 0.0650131 0.0650131
11.4 -0.0902145 -0.0902145 -0.222451 -0.222451 0.0511881 0.0511881
11.46 -0.0767484 -0.0767484 -0.226282 -0.226282 0.0372576 0.0372576
11.52 -0.0630771 -0.0630771 -0.229288 -0.229288 0.0232701 0.0232701
11.58 -0.0492505 -0.0492505 -0.231462 -0.231462 0.00927434 0.00927434
11.64 -0.0353184 -0.0353184 -0.232799 -0.232799 -0.00468141 -0.00468141
11.7 -0.0213313 -0.0213313 -0.2333 -0.2333 -0.0185491 -0.0185491
11.76 -0.00733909 -0.00733909 -0.232967 -0.232967 -0.0322812 -0.0322812
11.82 0.00660823 0.00660823 -0.231806 -0.231806 -0.0458309 -0.0458309
11.88 0.0204612 0.0204612 -0.229824 -0.229824 -0.0591522 -0.0591522
11.94 0.034171 0.034171 -0.227033 -0.227033 -0.0722 -0.0722
12 0.0476893 0.0476893 -0.223447 -0.223447 -0.0849305 -0.0849305
