# z erf_numeric erf_reference abs_error est_error evaluations status
2.0499999999999989 0.99625809624660278 0.99625809604445681 2.0214596663237216e-10 4.8016819660626432e-09 268 success
2.0999999999999988 0.99702053381968991 0.99702053334366703 4.7602288777426338e-10 4.6639292645310688e-09 240 success
2.1499999999999986 0.99763860713857344 0.99763860703732532 1.012481209983207e-10 4.0849271230907342e-09 240 success
2.1999999999999984 0.99813715379936796 0.99813715370201805 9.7349905914256851e-11 4.5845190823314146e-09 220 success
2.2499999999999982 0.9985372837636125 0.99853728341331882 3.502936829491432e-10 4.983570958778699e-09 200 success
2.299999999999998 0.9988568263040557 0.99885682340264337 2.9014123326120966e-09 6.5766217313085233e-09 144 success
2.3499999999999979 0.99911073498280467 0.99911073296786757 2.0149371060540489e-09 6.2001550521339216e-09 136 success
2.3999999999999977 0.99931148743264198 0.99931148610335496 1.3292870137959767e-09 4.8545335148249175e-09 136 success
2.4499999999999975 0.99946942084409229 0.99946941988774896 9.5634333785454828e-10 4.7642205109040508e-09 132 success
2.4999999999999973 0.99959304863553877 0.99959304798255499 6.5298377815992126e-10 3.6348378904072919e-09 128 success
2.5499999999999972 0.99968934019557965 0.99968933965736084 5.3821880285909174e-10 4.4042322678629915e-09 116 success
2.599999999999997 0.99976396595003381 0.99976396558347069 3.6656311319660517e-10 4.5656934795022825e-09 108 success
2.6499999999999968 0.99982151248973272 0.999821512247976 2.4175672574955342e-10 5.6241054578652222e-09 88 success
2.6999999999999966 0.99986566745827488 0.99986566726005943 1.9821544405829172e-10 5.8169737913156756e-09 76 success
2.7499999999999964 0.99989937821460073 0.99989937807788032 1.3672041276890923e-10 4.6436921910417535e-09 76 success
2.7999999999999963 0.99992504007756844 0.99992498680533459 5.3272233846435313e-08 6.8161093227899803e-09 64 success
2.8499999999999961 0.99994438006031627 0.9999443437200386 3.6340277675961374e-08 5.3408097920190374e-09 60 success
2.8999999999999959 0.99995892677747844 0.99995890212190053 2.465557791264672e-08 4.6248018335270337e-09 56 success
2.9499999999999957 0.99996981358962056 0.99996979695793586 1.6631684696122306e-08 4.940682906713938e-09 48 success
2.9999999999999956 0.99997792064787983 0.99997790950300136 1.1144878464541819e-08 5.557822781346914e-09 36 success
